"Arquivo","Namespace","Classe","Interface","Trait","Enum","Linhas","TamanhoKB"
"C:\zabbix\glpi\plugins\solpi\src\Core\Constants.php","namespace SOLPI\Core;","final class Constants",,,,"14","0,2"
"C:\zabbix\glpi\plugins\solpi\src\Core\Container.php","namespace SOLPI\Core;","final class Container",,,,"155","3,67"
"C:\zabbix\glpi\plugins\solpi\src\Core\Controller.php","namespace SOLPI\Core;","abstract class Controller",,,,"43","0,88"
"C:\zabbix\glpi\plugins\solpi\src\Core\Database.php","namespace SOLPI\Core;","final class Database",,,,"77","1,49"
"C:\zabbix\glpi\plugins\solpi\src\Core\Date.php","namespace SOLPI\Core;","final class Date",,,,"38","0,52"
"C:\zabbix\glpi\plugins\solpi\src\Core\EntityInterface.php","namespace SOLPI\Core;",,"interface EntityInterface",,,"22","0,35"
"C:\zabbix\glpi\plugins\solpi\src\Core\Environment.php","namespace SOLPI\Core;","final class Environment",,,,"38","0,5"
"C:\zabbix\glpi\plugins\solpi\src\Core\EventDispatcher.php","namespace SOLPI\Core;","final class EventDispatcher",,,,"76","1,27"
"C:\zabbix\glpi\plugins\solpi\src\Core\ExceptionHandler.php","namespace SOLPI\Core;","final class ExceptionHandler",,,,"37","0,8"
"C:\zabbix\glpi\plugins\solpi\src\Core\Hydrator.php","namespace SOLPI\Core;","final class Hydrator",,,,"29","0,42"
"C:\zabbix\glpi\plugins\solpi\src\Core\Json.php","namespace SOLPI\Core;","final class Json",,,,"34","0,51"
"C:\zabbix\glpi\plugins\solpi\src\Core\Kernel.php","namespace SOLPI\Core;","final class Kernel",,,,"145","2,7"
"C:\zabbix\glpi\plugins\solpi\src\Core\Logger.php","namespace SOLPI\Core;","final class Logger",,,,"79","1,71"
"C:\zabbix\glpi\plugins\solpi\src\Core\Paths.php","namespace SOLPI\Core;","final class Paths",,,,"28","0,46"
"C:\zabbix\glpi\plugins\solpi\src\Core\Plugin.php","namespace SOLPI\Core;","final class Plugin",,,,"39","0,62"
"C:\zabbix\glpi\plugins\solpi\src\Core\Repository.php","namespace SOLPI\Core;","abstract class Repository",,,,"33","0,53"
"C:\zabbix\glpi\plugins\solpi\src\Core\RepositoryInterface.php","namespace SOLPI\Core;",,"interface RepositoryInterface",,,"20","0,27"
"C:\zabbix\glpi\plugins\solpi\src\Core\Request.php","namespace SOLPI\Core;","final class Request",,,,"53","0,69"
"C:\zabbix\glpi\plugins\solpi\src\Core\Response.php","namespace SOLPI\Core;","final class Response",,,,"63","0,84"
"C:\zabbix\glpi\plugins\solpi\src\Core\Router.php","namespace SOLPI\Core;","final class Router",,,,"138","2,52"
"C:\zabbix\glpi\plugins\solpi\src\Core\Service.php","namespace SOLPI\Core;","abstract class Service",,,,"12","0,14"
"C:\zabbix\glpi\plugins\solpi\src\Core\ServiceInterface.php","namespace SOLPI\Core;",,"interface ServiceInterface",,,"20","0,27"
"C:\zabbix\glpi\plugins\solpi\src\Core\Session.php","namespace SOLPI\Core;","final class Session",,,,"50","0,91"
"C:\zabbix\glpi\plugins\solpi\src\Core\Str.php","namespace SOLPI\Core;","final class Str",,,,"74","0,98"
"C:\zabbix\glpi\plugins\solpi\src\Core\System.php","namespace SOLPI\Core;","final class System",,,,"33","0,56"
