"FullName","Length","Extension","LastWriteTime"
"C:\SOLPI\glpi\plugins\solpi\logs\zabbix.log","27",".log","23/06/2026 12:51:52"
"C:\SOLPI\glpi\plugins\solpi\public\webhook.php","1827",".php","30/06/2026 13:40:20"
"C:\SOLPI\glpi\plugins\solpi\sql\install.sql","14858",".sql","30/06/2026 13:40:20"
"C:\SOLPI\glpi\plugins\solpi\sql\seed.sql","1779",".sql","27/06/2026 18:09:54"
"C:\SOLPI\glpi\plugins\solpi\sql\uninstall.sql","1248",".sql","30/06/2026 13:40:20"
"C:\SOLPI\glpi\plugins\solpi\sql\update_2_0.sql","2861",".sql","27/06/2026 17:27:20"
"C:\SOLPI\glpi\plugins\solpi\src\AI\AIKernel.php","1785",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\AI\AIRepository.php","1850",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\AI\AIService.php","1370",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\AI\Conversation.php","344",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\AI\ModelSelector.php","345",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\AI\PromptBuilder.php","804",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\AI\Memory\ConversationMemory.php","749",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\AI\Memory\VectorMemory.php","878",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\AI\Providers\AbstractAIProvider.php","716",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\src\AI\Providers\AIProviderInterface.php","561",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\AI\Providers\AzureProvider.php","513",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\AI\Providers\ClaudeProvider.php","515",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\AI\Providers\GeminiProvider.php","515",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\AI\Providers\OllamaProvider.php","499",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\AI\Providers\OpenAIProvider.php","499",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\AI\Providers\ProviderFactory.php","609",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\src\AI\Services\ConversationContext.php","837",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\AI\Services\ConversationService.php","360",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\AI\Services\EmbeddingService.php","702",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\AI\Services\EntityResolver.php","865",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\AI\Services\IntentDetector.php","688",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\src\AI\Services\RAGService.php","1677",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\AI\Services\ResponseFormatter.php","438",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\AI\Services\RetrieverService.php","1196",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\AI\Services\SimilarityService.php","985",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\Assets\Entities\Asset.php","5853",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\Assets\Repositories\AssetRepository.php","4407",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\Assets\Services\AssetService.php","2163",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\Companies\Entities\Company.php","4216",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\Companies\Repositories\CompanyRepository.php","2084",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\Companies\Services\CompanyService.php","529",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\src\Contracts\ConfigInterface.php","416",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\Contracts\HttpClientInterface.php","1258",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\Contracts\LoggerInterface.php","1441",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\Contracts\Entities\Contract.php","411",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\Contracts\Repositories\ContractRepository.php","309",".php","29/06/2026 12:41:46"
"C:\SOLPI\glpi\plugins\solpi\src\Contracts\Services\ContractService.php","302",".php","29/06/2026 12:41:46"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Application.php","1915",".php","28/06/2026 05:18:39"
"C:\SOLPI\glpi\plugins\solpi\src\Core\BaseEntity.php","1896",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\Core\BaseRepository.php","2379",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\Core\BaseService.php","530",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Bootstrap.php","923",".php","30/06/2026 13:40:20"
